train_loss,val_loss
1.155594500154257,"tensor(0.0890, device='cuda:0')"
1.1557296633720398,"tensor(0.0814, device='cuda:0')"
1.1675696946680545,"tensor(0.1052, device='cuda:0')"
1.1361023351550101,"tensor(0.0921, device='cuda:0')"
1.1745294161140918,"tensor(0.0842, device='cuda:0')"
1.217177549749613,"tensor(0.0668, device='cuda:0')"
1.158762300759554,"tensor(0.0671, device='cuda:0')"
1.1583504796028137,"tensor(0.0897, device='cuda:0')"
1.1524086318910123,"tensor(0.0845, device='cuda:0')"
1.143062525242567,"tensor(0.0669, device='cuda:0')"
1.133767730742693,"tensor(0.0979, device='cuda:0')"
1.1238248273730278,"tensor(0.0738, device='cuda:0')"
1.1182966843247413,"tensor(0.0696, device='cuda:0')"
1.163101425766945,"tensor(0.0783, device='cuda:0')"
1.1373541474342346,"tensor(0.0786, device='cuda:0')"
1.150163260102272,"tensor(0.0843, device='cuda:0')"
1.1767878480255605,"tensor(0.0748, device='cuda:0')"
1.1310490399599076,"tensor(0.0863, device='cuda:0')"
1.109595923870802,"tensor(0.1030, device='cuda:0')"
1.1331199996173382,"tensor(0.0964, device='cuda:0')"
1.1242065854370593,"tensor(0.0911, device='cuda:0')"
1.1229341171681881,"tensor(0.0849, device='cuda:0')"
1.1382673546671866,"tensor(0.0820, device='cuda:0')"
1.0947515204548837,"tensor(0.1000, device='cuda:0')"
1.1209470324218274,"tensor(0.0794, device='cuda:0')"
1.1102693393826484,"tensor(0.0808, device='cuda:0')"
1.1249049924314023,"tensor(0.0735, device='cuda:0')"
1.1211324833333491,"tensor(0.0804, device='cuda:0')"
1.107267752289772,"tensor(0.0687, device='cuda:0')"
1.1139507636427879,"tensor(0.0912, device='cuda:0')"
1.1136052012443542,"tensor(0.0777, device='cuda:0')"
1.1339491493999958,"tensor(0.0925, device='cuda:0')"
1.121095148473978,"tensor(0.0756, device='cuda:0')"
1.1267581455409528,"tensor(0.0968, device='cuda:0')"
1.1219231858849525,"tensor(0.0776, device='cuda:0')"
1.1080076187849044,"tensor(0.0730, device='cuda:0')"
1.083462292701006,"tensor(0.0847, device='cuda:0')"
1.080849190056324,"tensor(0.0860, device='cuda:0')"
1.0885268680751323,"tensor(0.0910, device='cuda:0')"
1.0907313272356987,"tensor(0.0707, device='cuda:0')"
1.0700583316385746,"tensor(0.0795, device='cuda:0')"
1.1046527191996574,"tensor(0.0844, device='cuda:0')"
1.0932080164551734,"tensor(0.0907, device='cuda:0')"
1.1008726492524148,"tensor(0.0677, device='cuda:0')"
1.09233550876379,"tensor(0.0844, device='cuda:0')"
1.0850550338625908,"tensor(0.0696, device='cuda:0')"
1.0927597105503082,"tensor(0.0775, device='cuda:0')"
1.0813629530370235,"tensor(0.0815, device='cuda:0')"
1.0880720905959607,"tensor(0.0780, device='cuda:0')"
1.0924845770001412,"tensor(0.0920, device='cuda:0')"
1.0949722006917,"tensor(0.0777, device='cuda:0')"
1.0937345288693905,"tensor(0.0798, device='cuda:0')"
