train_loss,val_loss
1145.225514936447,"tensor(17.6725, device='cuda:0')"
69.69645555019379,"tensor(1.8170, device='cuda:0')"
27.51445352435112,"tensor(3.9137, device='cuda:0')"
20.932838648557663,"tensor(1.4800, device='cuda:0')"
13.841788011789323,"tensor(0.7926, device='cuda:0')"
10.62298130095005,"tensor(1.5088, device='cuda:0')"
6.182069988548756,"tensor(0.6739, device='cuda:0')"
4.512990772724152,"tensor(0.2055, device='cuda:0')"
2.8244312673807146,"tensor(0.3293, device='cuda:0')"
2.988715672492981,"tensor(0.1846, device='cuda:0')"
2.90212546736002,"tensor(0.4516, device='cuda:0')"
3.312515985965729,"tensor(0.2327, device='cuda:0')"
3.1541320383548737,"tensor(0.2680, device='cuda:0')"
3.2626411348581312,"tensor(0.3469, device='cuda:0')"
2.4384412840008736,"tensor(0.2754, device='cuda:0')"
2.3601752549409865,"tensor(0.2375, device='cuda:0')"
2.2696767553687094,"tensor(0.1563, device='cuda:0')"
2.403957948088646,"tensor(0.3443, device='cuda:0')"
1.8514656990766525,"tensor(0.2069, device='cuda:0')"
2.3258021101355553,"tensor(0.1571, device='cuda:0')"
1.8997906930744648,"tensor(0.2057, device='cuda:0')"
2.4883450105786324,"tensor(0.1812, device='cuda:0')"
1.673326601088047,"tensor(0.1185, device='cuda:0')"
1.518298614025116,"tensor(0.1899, device='cuda:0')"
1.6003055408596993,"tensor(0.1520, device='cuda:0')"
1.8148448824882508,"tensor(0.1125, device='cuda:0')"
1.792227629572153,"tensor(0.2345, device='cuda:0')"
1.7009709775447845,"tensor(0.1373, device='cuda:0')"
1.522466203570366,"tensor(0.1470, device='cuda:0')"
1.5939873218536378,"tensor(0.1320, device='cuda:0')"
1.4425623446702958,"tensor(0.1205, device='cuda:0')"
1.475716418027878,"tensor(0.1371, device='cuda:0')"
1.697279902547598,"tensor(0.2299, device='cuda:0')"
1.5098677709698678,"tensor(0.1839, device='cuda:0')"
1.5538408920168876,"tensor(0.1306, device='cuda:0')"
1.4726836398243903,"tensor(0.1685, device='cuda:0')"
1.5129009038209915,"tensor(0.1615, device='cuda:0')"
1.5776203386485577,"tensor(0.1290, device='cuda:0')"
1.4636672481894493,"tensor(0.1722, device='cuda:0')"
1.4485842131078244,"tensor(0.2326, device='cuda:0')"
1.7169181615114213,"tensor(0.1355, device='cuda:0')"
